
-------------------------------------------------------------------------------
eosDaniela/eosSLy4,  MDIVxSDIV=151x301,  accuracy=1e-06
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi    r_plus     r_minus    exp_gamma_eq    exp_gamma_plus    exp_gamma_minus    conv_rad    conv_plus    conv_minus  chi    q    Mgeom    M2_geom   Jgeom   S3_geom    M2_asy    M2    S3_asy    S3    B0_geom    B0/M^2    M2^GH_geom   S3^GH_geom   M4_geom   M4_asy^GH_geom   B2/M^4   S5_geom  B2_asy/M^4   M4_asy_geom   S5_asy_geom  M4_geom_2points  M4_geom_3points  M4_geom_4points
-------------------------------------------------------------------------------
9.47690e+14 1.48007e+00 1.62932e+00 1.29005e+01 5.12336e-01 9.56296e-01 4.97905e-02 9.73048e-01 1.66914e+00 0.00000e+00 4.41722e+00 2.72171e-01 6.30333e-01 -6.32572e-02 4.68749e-01 1.05501e+01 8.24170e-01 9.56296e-01 9.56296e-01 4.72623e+00 0.00000e+00 1.50274e+01 9.89997e-01 1.00000e+00 9.95122e-01 1.22278e+00 1.00000e+00 1.15241e+00 4.44192e-01 -8.49371e-01 2.18363e+00 -8.83803e+00 2.11802e+00 -1.69864e+01 -1.19107e+02 -1.19030e+02 -6.86354e-01 -6.85835e-01 -1.09085e+00 -2.28773e-01 -9.13272e+00 -1.75009e+01 1.06829e+02 1.40255e+02 1.03140e-01 -1.16107e+04 7.06977e+05 1.36199e+02 -1.06297e+08 8.77297e+01 8.64824e+01 8.60929e+01 
---------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure   Omega
3.2996700e-01 2.0000000e-01 -7.0308535e-01 -3.3904000e-02 3.3263253e-01 1.7989390e-01 4.6964830e+34 5.1233645e-01
3.2996700e-01 2.0666667e-01 -7.0300980e-01 -3.3895526e-02 3.3260520e-01 1.7986206e-01 4.6926110e+34 5.1233645e-01
3.2996700e-01 2.1333333e-01 -7.0293180e-01 -3.3886780e-02 3.3257697e-01 1.7982918e-01 4.6886142e+34 5.1233645e-01
3.2996700e-01 2.2000000e-01 -7.0285134e-01 -3.3877762e-02 3.3254785e-01 1.7979526e-01 4.6844928e+34 5.1233645e-01
3.2996700e-01 2.2666667e-01 -7.0276842e-01 -3.3868470e-02 3.3251784e-01 1.7976030e-01 4.6802469e+34 5.1233645e-01
3.2996700e-01 2.3333333e-01 -7.0268306e-01 -3.3858907e-02 3.3248692e-01 1.7972430e-01 4.6758767e+34 5.1233645e-01
3.2996700e-01 2.4000000e-01 -7.0259525e-01 -3.3849070e-02 3.3245511e-01 1.7968727e-01 4.6713825e+34 5.1233645e-01
3.2996700e-01 2.4666667e-01 -7.0250499e-01 -3.3838961e-02 3.3242240e-01 1.7964920e-01 4.6667643e+34 5.1233645e-01
3.2996700e-01 2.5333333e-01 -7.0241228e-01 -3.3828580e-02 3.3238879e-01 1.7961010e-01 4.6620225e+34 5.1233645e-01
3.2996700e-01 2.6000000e-01 -7.0231713e-01 -3.3817925e-02 3.3235427e-01 1.7956996e-01 4.6571571e+34 5.1233645e-01
3.2996700e-01 2.6666667e-01 -7.0221953e-01 -3.3806999e-02 3.3231886e-01 1.7952879e-01 4.6521685e+34 5.1233645e-01
3.2996700e-01 2.7333333e-01 -7.0211949e-01 -3.3795799e-02 3.3228255e-01 1.7948658e-01 4.6470569e+34 5.1233645e-01
3.2996700e-01 2.8000000e-01 -7.0201702e-01 -3.3784327e-02 3.3224533e-01 1.7944334e-01 4.6418224e+34 5.1233645e-01
3.2996700e-01 2.8666667e-01 -7.0191211e-01 -3.3772583e-02 3.3220722e-01 1.7939907e-01 4.6364654e+34 5.1233645e-01
3.2996700e-01 2.9333333e-01 -7.0180476e-01 -3.3760566e-02 3.3216820e-01 1.7935376e-01 4.6309860e+34 5.1233645e-01
3.2996700e-01 3.0000000e-01 -7.0169499e-01 -3.3748278e-02 3.3212829e-01 1.7930742e-01 4.6253846e+34 5.1233645e-01
3.2996700e-01 3.0666667e-01 -7.0158278e-01 -3.3735718e-02 3.3208748e-01 1.7926006e-01 4.6196614e+34 5.1233645e-01
3.2996700e-01 3.1333333e-01 -7.0146815e-01 -3.3722887e-02 3.3204578e-01 1.7921166e-01 4.6138167e+34 5.1233645e-01
3.2996700e-01 3.2000000e-01 -7.0135110e-01 -3.3709785e-02 3.3200318e-01 1.7916223e-01 4.6078508e+34 5.1233645e-01
3.2996700e-01 3.2666667e-01 -7.0123163e-01 -3.3696414e-02 3.3195970e-01 1.7911177e-01 4.6017640e+34 5.1233645e-01
3.2996700e-01 3.3333333e-01 -7.0110974e-01 -3.3682773e-02 3.3191533e-01 1.7906029e-01 4.5955566e+34 5.1233645e-01
3.2996700e-01 3.4000000e-01 -7.0098544e-01 -3.3668864e-02 3.3187007e-01 1.7900778e-01 4.5892290e+34 5.1233645e-01
3.2996700e-01 3.4666667e-01 -7.0085873e-01 -3.3654687e-02 3.3182393e-01 1.7895424e-01 4.5827814e+34 5.1233645e-01
3.2996700e-01 3.5333333e-01 -7.0072961e-01 -3.3640243e-02 3.3177691e-01 1.7889967e-01 4.5762143e+34 5.1233645e-01
3.2996700e-01 3.6000000e-01 -7.0059809e-01 -3.3625533e-02 3.3172901e-01 1.7884409e-01 4.5695280e+34 5.1233645e-01
3.2996700e-01 3.6666667e-01 -7.0046418e-01 -3.3610559e-02 3.3168024e-01 1.7878747e-01 4.5627229e+34 5.1233645e-01
3.2996700e-01 3.7333333e-01 -7.0032787e-01 -3.3595321e-02 3.3163060e-01 1.7872984e-01 4.5557992e+34 5.1233645e-01
3.2996700e-01 3.8000000e-01 -7.0018917e-01 -3.3579821e-02 3.3158010e-01 1.7867118e-01 4.5487575e+34 5.1233645e-01
3.2996700e-01 3.8666667e-01 -7.0004808e-01 -3.3564059e-02 3.3152873e-01 1.7861150e-01 4.5415981e+34 5.1233645e-01
3.2996700e-01 3.9333333e-01 -6.9990461e-01 -3.3548038e-02 3.3147650e-01 1.7855079e-01 4.5343215e+34 5.1233645e-01
3.2996700e-01 4.0000000e-01 -6.9975877e-01 -3.3531758e-02 3.3142341e-01 1.7848907e-01 4.5269279e+34 5.1233645e-01
3.2996700e-01 4.0666667e-01 -6.9961055e-01 -3.3515222e-02 3.3136947e-01 1.7842633e-01 4.5194179e+34 5.1233645e-01
3.2996700e-01 4.1333333e-01 -6.9945996e-01 -3.3498429e-02 3.3131467e-01 1.7836258e-01 4.5117917e+34 5.1233645e-01
3.2996700e-01 4.2000000e-01 -6.9930701e-01 -3.3481382e-02 3.3125901e-01 1.7829780e-01 4.5040500e+34 5.1233645e-01
3.2996700e-01 4.2666667e-01 -6.9915170e-01 -3.3464081e-02 3.3120251e-01 1.7823201e-01 4.4961930e+34 5.1233645e-01
3.2996700e-01 4.3333333e-01 -6.9899403e-01 -3.3446529e-02 3.3114515e-01 1.7816521e-01 4.4882211e+34 5.1233645e-01
3.2996700e-01 4.4000000e-01 -6.9883400e-01 -3.3428726e-02 3.3108694e-01 1.7809739e-01 4.4801349e+34 5.1233645e-01
3.2996700e-01 4.4666667e-01 -6.9867163e-01 -3.3410674e-02 3.3102788e-01 1.7802856e-01 4.4719347e+34 5.1233645e-01
3.2996700e-01 4.5333333e-01 -6.9850692e-01 -3.3392373e-02 3.3096796e-01 1.7795872e-01 4.4636209e+34 5.1233645e-01
3.2996700e-01 4.6000000e-01 -6.9833986e-01 -3.3373825e-02 3.3090719e-01 1.7788787e-01 4.4551939e+34 5.1233645e-01
3.2996700e-01 4.6666667e-01 -6.9817047e-01 -3.3355030e-02 3.3084557e-01 1.7781601e-01 4.4466542e+34 5.1233645e-01
3.2996700e-01 4.7333333e-01 -6.9799875e-01 -3.3335989e-02 3.3078308e-01 1.7774314e-01 4.4380022e+34 5.1233645e-01
3.2996700e-01 4.8000000e-01 -6.9782470e-01 -3.3316704e-02 3.3071974e-01 1.7766926e-01 4.4292382e+34 5.1233645e-01
3.2996700e-01 4.8666667e-01 -6.9764832e-01 -3.3297174e-02 3.3065553e-01 1.7759438e-01 4.4203627e+34 5.1233645e-01
3.2996700e-01 4.9333333e-01 -6.9746962e-01 -3.3277401e-02 3.3059046e-01 1.7751849e-01 4.4113761e+34 5.1233645e-01
3.2996700e-01 5.0000000e-01 -6.9728860e-01 -3.3257384e-02 3.3052451e-01 1.7744160e-01 4.4022788e+34 5.1233645e-01
3.2996700e-01 5.0666667e-01 -6.9710526e-01 -3.3237123e-02 3.3045770e-01 1.7736371e-01 4.3930712e+34 5.1233645e-01
3.2996700e-01 5.1333333e-01 -6.9691962e-01 -3.3216620e-02 3.3039001e-01 1.7728482e-01 4.3837537e+34 5.1233645e-01
3.2996700e-01 5.2000000e-01 -6.9673167e-01 -3.3195875e-02 3.3032144e-01 1.7720493e-01 4.3743267e+34 5.1233645e-01
3.2996700e-01 5.2666667e-01 -6.9654141e-01 -3.3174886e-02 3.3025199e-01 1.7712404e-01 4.3647906e+34 5.1233645e-01
3.2996700e-01 5.3333333e-01 -6.9634886e-01 -3.3153655e-02 3.3018166e-01 1.7704215e-01 4.3551458e+34 5.1233645e-01
3.2996700e-01 5.4000000e-01 -6.9615400e-01 -3.3132181e-02 3.3011045e-01 1.7695926e-01 4.3453929e+34 5.1233645e-01
3.2996700e-01 5.4666667e-01 -6.9595686e-01 -3.3110465e-02 3.3003836e-01 1.7687538e-01 4.3355320e+34 5.1233645e-01
3.2996700e-01 5.5333333e-01 -6.9575743e-01 -3.3088506e-02 3.2996538e-01 1.7679051e-01 4.3255638e+34 5.1233645e-01
3.2996700e-01 5.6000000e-01 -6.9555571e-01 -3.3066304e-02 3.2989152e-01 1.7670464e-01 4.3154887e+34 5.1233645e-01
3.2996700e-01 5.6666667e-01 -6.9535171e-01 -3.3043859e-02 3.2981678e-01 1.7661778e-01 4.3053071e+34 5.1233645e-01
3.2996700e-01 5.7333333e-01 -6.9514544e-01 -3.3021171e-02 3.2974117e-01 1.7652993e-01 4.2950194e+34 5.1233645e-01
3.2996700e-01 5.8000000e-01 -6.9493690e-01 -3.2998242e-02 3.2966468e-01 1.7644109e-01 4.2846262e+34 5.1233645e-01
3.2996700e-01 5.8666667e-01 -6.9472610e-01 -3.2975070e-02 3.2958732e-01 1.7635127e-01 4.2741280e+34 5.1233645e-01
3.2996700e-01 5.9333333e-01 -6.9451303e-01 -3.2951657e-02 3.2950909e-01 1.7626045e-01 4.2635252e+34 5.1233645e-01
3.2996700e-01 6.0000000e-01 -6.9429771e-01 -3.2928003e-02 3.2943001e-01 1.7616866e-01 4.2528184e+34 5.1233645e-01
3.2996700e-01 6.0666667e-01 -6.9408014e-01 -3.2904109e-02 3.2935008e-01 1.7607587e-01 4.2420082e+34 5.1233645e-01
3.2996700e-01 6.1333333e-01 -6.9386033e-01 -3.2879976e-02 3.2926931e-01 1.7598211e-01 4.2310950e+34 5.1233645e-01
3.2996700e-01 6.2000000e-01 -6.9363828e-01 -3.2855606e-02 3.2918770e-01 1.7588736e-01 4.2200795e+34 5.1233645e-01
3.2996700e-01 6.2666667e-01 -6.9341400e-01 -3.2830999e-02 3.2910526e-01 1.7579163e-01 4.2089622e+34 5.1233645e-01
3.2996700e-01 6.3333333e-01 -6.9318750e-01 -3.2806159e-02 3.2902201e-01 1.7569493e-01 4.1977438e+34 5.1233645e-01
3.2996700e-01 6.4000000e-01 -6.9295878e-01 -3.2781086e-02 3.2893794e-01 1.7559724e-01 4.1864249e+34 5.1233645e-01
3.2996700e-01 6.4666667e-01 -6.9272786e-01 -3.2755783e-02 3.2885307e-01 1.7549858e-01 4.1750061e+34 5.1233645e-01
3.2996700e-01 6.5333333e-01 -6.9249473e-01 -3.2730252e-02 3.2876741e-01 1.7539895e-01 4.1634880e+34 5.1233645e-01
3.2996700e-01 6.6000000e-01 -6.9225940e-01 -3.2704497e-02 3.2868096e-01 1.7529835e-01 4.1518714e+34 5.1233645e-01
3.2996700e-01 6.6666667e-01 -6.9202189e-01 -3.2678519e-02 3.2859372e-01 1.7519677e-01 4.1401568e+34 5.1233645e-01
3.2996700e-01 6.7333333e-01 -6.9178219e-01 -3.2652321e-02 3.2850571e-01 1.7509423e-01 4.1283449e+34 5.1233645e-01
3.2996700e-01 6.8000000e-01 -6.9154032e-01 -3.2625907e-02 3.2841692e-01 1.7499071e-01 4.1164364e+34 5.1233645e-01
3.2996700e-01 6.8666667e-01 -6.9129628e-01 -3.2599279e-02 3.2832735e-01 1.7488624e-01 4.1044320e+34 5.1233645e-01
3.2996700e-01 6.9333333e-01 -6.9105007e-01 -3.2572440e-02 3.2823701e-01 1.7478080e-01 4.0923321e+34 5.1233645e-01
3.2996700e-01 7.0000000e-01 -6.9080171e-01 -3.2545392e-02 3.2814588e-01 1.7467439e-01 4.0801376e+34 5.1233645e-01
3.2996700e-01 7.0666667e-01 -6.9055119e-01 -3.2518139e-02 3.2805397e-01 1.7456703e-01 4.0678491e+34 5.1233645e-01
3.2996700e-01 7.1333333e-01 -6.9029853e-01 -3.2490682e-02 3.2796127e-01 1.7445871e-01 4.0554670e+34 5.1233645e-01
3.2996700e-01 7.2000000e-01 -6.9004373e-01 -3.2463023e-02 3.2786776e-01 1.7434944e-01 4.0429920e+34 5.1233645e-01
3.2996700e-01 7.2666667e-01 -6.8978679e-01 -3.2435164e-02 3.2777344e-01 1.7423921e-01 4.0304247e+34 5.1233645e-01
3.2996700e-01 7.3333333e-01 -6.8952771e-01 -3.2407106e-02 3.2767829e-01 1.7412803e-01 4.0177656e+34 5.1233645e-01
3.2996700e-01 7.4000000e-01 -6.8926650e-01 -3.2378849e-02 3.2758230e-01 1.7401590e-01 4.0050152e+34 5.1233645e-01
3.2996700e-01 7.4666667e-01 -6.8900317e-01 -3.2350393e-02 3.2748545e-01 1.7390282e-01 3.9921740e+34 5.1233645e-01
3.2996700e-01 7.5333333e-01 -6.8873770e-01 -3.2321737e-02 3.2738774e-01 1.7378880e-01 3.9792424e+34 5.1233645e-01
3.2996700e-01 7.6000000e-01 -6.8847012e-01 -3.2292881e-02 3.2728915e-01 1.7367383e-01 3.9662210e+34 5.1233645e-01
3.2996700e-01 7.6666667e-01 -6.8820042e-01 -3.2263821e-02 3.2718966e-01 1.7355792e-01 3.9531100e+34 5.1233645e-01
3.2996700e-01 7.7333333e-01 -6.8792859e-01 -3.2234557e-02 3.2708927e-01 1.7344107e-01 3.9399100e+34 5.1233645e-01
3.2996700e-01 7.8000000e-01 -6.8765465e-01 -3.2205085e-02 3.2698796e-01 1.7332327e-01 3.9266213e+34 5.1233645e-01
3.2996700e-01 7.8666667e-01 -6.8737860e-01 -3.2175401e-02 3.2688574e-01 1.7320454e-01 3.9132443e+34 5.1233645e-01
3.2996700e-01 7.9333333e-01 -6.8710044e-01 -3.2145503e-02 3.2678260e-01 1.7308486e-01 3.8997795e+34 5.1233645e-01
3.2996700e-01 8.0000000e-01 -6.8682017e-01 -3.2115386e-02 3.2667856e-01 1.7296425e-01 3.8862273e+34 5.1233645e-01
3.2996700e-01 8.0666667e-01 -6.8653780e-01 -3.2085048e-02 3.2657362e-01 1.7284270e-01 3.8725881e+34 5.1233645e-01
3.2996700e-01 8.1333333e-01 -6.8625333e-01 -3.2054485e-02 3.2646779e-01 1.7272022e-01 3.8588624e+34 5.1233645e-01
3.2996700e-01 8.2000000e-01 -6.8596677e-01 -3.2023694e-02 3.2636111e-01 1.7259680e-01 3.8450509e+34 5.1233645e-01
3.2996700e-01 8.2666667e-01 -6.8567813e-01 -3.1992675e-02 3.2625360e-01 1.7247245e-01 3.8311540e+34 5.1233645e-01
3.2996700e-01 8.3333333e-01 -6.8538742e-01 -3.1961427e-02 3.2614529e-01 1.7234716e-01 3.8171726e+34 5.1233645e-01
3.2996700e-01 8.4000000e-01 -6.8509463e-01 -3.1929951e-02 3.2603622e-01 1.7222095e-01 3.8031073e+34 5.1233645e-01
3.2996700e-01 8.4666667e-01 -6.8479979e-01 -3.1898251e-02 3.2592643e-01 1.7209380e-01 3.7889589e+34 5.1233645e-01
3.2996700e-01 8.5333333e-01 -6.8450291e-01 -3.1866332e-02 3.2581595e-01 1.7196572e-01 3.7747285e+34 5.1233645e-01
3.2996700e-01 8.6000000e-01 -6.8420398e-01 -3.1834202e-02 3.2570483e-01 1.7183672e-01 3.7604170e+34 5.1233645e-01
3.2996700e-01 8.6666667e-01 -6.8390303e-01 -3.1801871e-02 3.2559310e-01 1.7170680e-01 3.7460253e+34 5.1233645e-01
3.2996700e-01 8.7333333e-01 -6.8360006e-01 -3.1769350e-02 3.2548076e-01 1.7157596e-01 3.7315547e+34 5.1233645e-01
3.2996700e-01 8.8000000e-01 -6.8329508e-01 -3.1736655e-02 3.2536783e-01 1.7144421e-01 3.7170060e+34 5.1233645e-01
3.2996700e-01 8.8666667e-01 -6.8298809e-01 -3.1703800e-02 3.2525430e-01 1.7131155e-01 3.7023804e+34 5.1233645e-01
3.2996700e-01 8.9333333e-01 -6.8267909e-01 -3.1670802e-02 3.2514012e-01 1.7117798e-01 3.6876787e+34 5.1233645e-01
3.2996700e-01 9.0000000e-01 -6.8236806e-01 -3.1637675e-02 3.2502525e-01 1.7104353e-01 3.6729015e+34 5.1233645e-01
3.2996700e-01 9.0666667e-01 -6.8205501e-01 -3.1604431e-02 3.2490958e-01 1.7090818e-01 3.6580492e+34 5.1233645e-01
3.2996700e-01 9.1333333e-01 -6.8173989e-01 -3.1571075e-02 3.2479299e-01 1.7077195e-01 3.6431216e+34 5.1233645e-01
3.2996700e-01 9.2000000e-01 -6.8142267e-01 -3.1537603e-02 3.2467533e-01 1.7063484e-01 3.6281181e+34 5.1233645e-01
3.2996700e-01 9.2666667e-01 -6.8110331e-01 -3.1503995e-02 3.2455642e-01 1.7049686e-01 3.6130371e+34 5.1233645e-01
3.2996700e-01 9.3333333e-01 -6.8078174e-01 -3.1470211e-02 3.2443606e-01 1.7035800e-01 3.5978760e+34 5.1233645e-01
3.2996700e-01 9.4000000e-01 -6.8045786e-01 -3.1436182e-02 3.2431407e-01 1.7021826e-01 3.5826310e+34 5.1233645e-01
3.2996700e-01 9.4666667e-01 -6.8013159e-01 -3.1401801e-02 3.2419027e-01 1.7007762e-01 3.5672965e+34 5.1233645e-01
3.2996700e-01 9.5333333e-01 -6.7980278e-01 -3.1366908e-02 3.2406456e-01 1.6993606e-01 3.5518649e+34 5.1233645e-01
3.2996700e-01 9.6000000e-01 -6.7947131e-01 -3.1331280e-02 3.2393695e-01 1.6979354e-01 3.5363265e+34 5.1233645e-01
3.2996700e-01 9.6666667e-01 -6.7913701e-01 -3.1294609e-02 3.2380763e-01 1.6965001e-01 3.5206683e+34 5.1233645e-01
3.2996700e-01 9.7333333e-01 -6.7879968e-01 -3.1256483e-02 3.2367707e-01 1.6950537e-01 3.5048741e+34 5.1233645e-01
3.2996700e-01 9.8000000e-01 -6.7845913e-01 -3.1216358e-02 3.2354615e-01 1.6935950e-01 3.4889236e+34 5.1233645e-01
3.2996700e-01 9.8666667e-01 -6.7811516e-01 -3.1173530e-02 3.2341631e-01 1.6921226e-01 3.4727920e+34 5.1233645e-01
3.2996700e-01 9.9333333e-01 -6.7776756e-01 -3.1127094e-02 3.2329050e-01 1.6906342e-01 3.4564490e+34 5.1233645e-01
3.2996700e-01 1.0000000e+00 -6.7741615e-01 -3.1075909e-02 3.2317012e-01 1.6891269e-01 3.4398581e+34 5.1233645e-01
3.3330000e-01 0.0000000e+00 -6.9972844e-01 -3.3472817e-02 3.3104856e-01 1.7867008e-01 4.6066481e+34 5.1233645e-01
3.3330000e-01 6.6666667e-03 -6.9972717e-01 -3.3472674e-02 3.3104790e-01 1.7866954e-01 4.6065833e+34 5.1233645e-01
3.3330000e-01 1.3333333e-02 -6.9972335e-01 -3.3472246e-02 3.3104652e-01 1.7866793e-01 4.6063892e+34 5.1233645e-01
3.3330000e-01 2.0000000e-02 -6.9971700e-01 -3.3471532e-02 3.3104420e-01 1.7866525e-01 4.6060656e+34 5.1233645e-01
3.3330000e-01 2.6666667e-02 -6.9970811e-01 -3.3470534e-02 3.3104095e-01 1.7866149e-01 4.6056126e+34 5.1233645e-01
3.3330000e-01 3.3333333e-02 -6.9969668e-01 -3.3469250e-02 3.3103678e-01 1.7865666e-01 4.6050302e+34 5.1233645e-01
3.3330000e-01 4.0000000e-02 -6.9968271e-01 -3.3467681e-02 3.3103168e-01 1.7865076e-01 4.6043185e+34 5.1233645e-01
3.3330000e-01 4.6666667e-02 -6.9966620e-01 -3.3465829e-02 3.3102565e-01 1.7864378e-01 4.6034775e+34 5.1233645e-01
3.3330000e-01 5.3333333e-02 -6.9964715e-01 -3.3463692e-02 3.3101870e-01 1.7863573e-01 4.6025074e+34 5.1233645e-01
3.3330000e-01 6.0000000e-02 -6.9962557e-01 -3.3461272e-02 3.3101082e-01 1.7862661e-01 4.6014081e+34 5.1233645e-01
3.3330000e-01 6.6666667e-02 -6.9960145e-01 -3.3458568e-02 3.3100203e-01 1.7861642e-01 4.6001797e+34 5.1233645e-01
3.3330000e-01 7.3333333e-02 -6.9957479e-01 -3.3455583e-02 3.3099231e-01 1.7860515e-01 4.5988224e+34 5.1233645e-01
3.3330000e-01 8.0000000e-02 -6.9954560e-01 -3.3452315e-02 3.3098168e-01 1.7859281e-01 4.5973363e+34 5.1233645e-01
