
-------------------------------------------------------------------------------
eosDaniela/eosSLy4,  MDIVxSDIV=151x301,  accuracy=1e-06
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi    r_plus     r_minus    exp_gamma_eq    exp_gamma_plus    exp_gamma_minus    conv_rad    conv_plus    conv_minus  chi    q    Mgeom    M2_geom   Jgeom   S3_geom    M2_asy    M2    S3_asy    S3    B0_geom    B0/M^2    M2^GH_geom   S3^GH_geom   M4_geom   M4_asy^GH_geom   B2/M^4   S5_geom  B2_asy/M^4   M4_asy_geom   S5_asy_geom  M4_geom_2points  M4_geom_3points  M4_geom_4points
-------------------------------------------------------------------------------
9.47690e+14 1.60398e+00 1.76829e+00 1.41884e+01 6.54552e-01 8.68768e-01 8.82223e-02 1.53478e+00 2.06071e+00 0.00000e+00 6.13047e+00 3.10704e-01 8.34365e-01 -1.69137e-01 4.98499e-01 1.16081e+01 6.92310e-01 8.68768e-01 8.68768e-01 5.02985e+00 0.00000e+00 1.78323e+01 9.91017e-01 1.00000e+00 9.96261e-01 1.22229e+00 1.00000e+00 1.13944e+00 5.96551e-01 -1.31040e+00 2.36645e+00 -1.73538e+01 3.34074e+00 -4.80760e+01 -2.33883e+02 -2.33720e+02 -1.94255e+00 -1.94109e+00 -1.17465e+00 -2.09755e-01 -1.80649e+01 -4.98830e+01 3.37166e+02 3.97595e+02 1.39999e-01 -2.66956e+04 6.68150e+05 3.79788e+02 -3.64208e+08 3.09327e+02 3.07333e+02 3.06605e+02 
---------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure   Omega
-------------------------------------------------------------------------------
3.2996700e-01 0.0000000e+00 -7.2955204e-01 -3.2883460e-02 3.4390540e-01 2.3817584e-01 4.0779230e+34 6.5455165e-01
3.2996700e-01 6.6666667e-03 -7.2954932e-01 -3.2883178e-02 3.4390400e-01 2.3817437e-01 4.0777958e+34 6.5455165e-01
3.2996700e-01 1.3333333e-02 -7.2954117e-01 -3.2882331e-02 3.4390109e-01 2.3816997e-01 4.0774144e+34 6.5455165e-01
3.2996700e-01 2.0000000e-02 -7.2952757e-01 -3.2880921e-02 3.4389617e-01 2.3816264e-01 4.0767787e+34 6.5455165e-01
3.2996700e-01 2.6666667e-02 -7.2950854e-01 -3.2878947e-02 3.4388929e-01 2.3815238e-01 4.0758889e+34 6.5455165e-01
3.2996700e-01 3.3333333e-02 -7.2948408e-01 -3.2876410e-02 3.4388045e-01 2.3813919e-01 4.0747449e+34 6.5455165e-01
3.2996700e-01 4.0000000e-02 -7.2945418e-01 -3.2873309e-02 3.4386964e-01 2.3812307e-01 4.0733471e+34 6.5455165e-01
3.2996700e-01 4.6666667e-02 -7.2941886e-01 -3.2869646e-02 3.4385688e-01 2.3810402e-01 4.0716956e+34 6.5455165e-01
3.2996700e-01 5.3333333e-02 -7.2937810e-01 -3.2865421e-02 3.4384215e-01 2.3808204e-01 4.0697905e+34 6.5455165e-01
3.2996700e-01 6.0000000e-02 -7.2933192e-01 -3.2860635e-02 3.4382546e-01 2.3805713e-01 4.0676321e+34 6.5455165e-01
3.2996700e-01 6.6666667e-02 -7.2928031e-01 -3.2855288e-02 3.4380682e-01 2.3802929e-01 4.0652207e+34 6.5455165e-01
3.2996700e-01 7.3333333e-02 -7.2922329e-01 -3.2849381e-02 3.4378623e-01 2.3799852e-01 4.0625565e+34 6.5455165e-01
3.2996700e-01 8.0000000e-02 -7.2916084e-01 -3.2842914e-02 3.4376368e-01 2.3796483e-01 4.0596400e+34 6.5455165e-01
3.2996700e-01 8.6666667e-02 -7.2909299e-01 -3.2835890e-02 3.4373919e-01 2.3792822e-01 4.0564713e+34 6.5455165e-01
3.2996700e-01 9.3333333e-02 -7.2901973e-01 -3.2828309e-02 3.4371274e-01 2.3788868e-01 4.0530510e+34 6.5455165e-01
3.2996700e-01 1.0000000e-01 -7.2894106e-01 -3.2820171e-02 3.4368435e-01 2.3784622e-01 4.0493795e+34 6.5455165e-01
3.2996700e-01 1.0666667e-01 -7.2885700e-01 -3.2811478e-02 3.4365402e-01 2.3780084e-01 4.0454571e+34 6.5455165e-01
3.2996700e-01 1.1333333e-01 -7.2876754e-01 -3.2802232e-02 3.4362175e-01 2.3775254e-01 4.0412844e+34 6.5455165e-01
3.2996700e-01 1.2000000e-01 -7.2867270e-01 -3.2792432e-02 3.4358754e-01 2.3770132e-01 4.0368617e+34 6.5455165e-01
3.2996700e-01 1.2666667e-01 -7.2857247e-01 -3.2782081e-02 3.4355139e-01 2.3764719e-01 4.0321898e+34 6.5455165e-01
3.2996700e-01 1.3333333e-01 -7.2846686e-01 -3.2771179e-02 3.4351331e-01 2.3759014e-01 4.0272690e+34 6.5455165e-01
3.2996700e-01 1.4000000e-01 -7.2835589e-01 -3.2759728e-02 3.4347330e-01 2.3753018e-01 4.0221000e+34 6.5455165e-01
3.2996700e-01 1.4666667e-01 -7.2823955e-01 -3.2747729e-02 3.4343136e-01 2.3746732e-01 4.0166834e+34 6.5455165e-01
3.2996700e-01 1.5333333e-01 -7.2811785e-01 -3.2735184e-02 3.4338749e-01 2.3740154e-01 4.0110198e+34 6.5455165e-01
3.2996700e-01 1.6000000e-01 -7.2799081e-01 -3.2722093e-02 3.4334169e-01 2.3733286e-01 4.0051098e+34 6.5455165e-01
3.2996700e-01 1.6666667e-01 -7.2785842e-01 -3.2708458e-02 3.4329397e-01 2.3726127e-01 3.9989541e+34 6.5455165e-01
3.2996700e-01 1.7333333e-01 -7.2772069e-01 -3.2694281e-02 3.4324432e-01 2.3718679e-01 3.9925534e+34 6.5455165e-01
3.2996700e-01 1.8000000e-01 -7.2757764e-01 -3.2679562e-02 3.4319275e-01 2.3710940e-01 3.9859084e+34 6.5455165e-01
3.2996700e-01 1.8666667e-01 -7.2742926e-01 -3.2664303e-02 3.4313926e-01 2.3702913e-01 3.9790200e+34 6.5455165e-01
3.2996700e-01 1.9333333e-01 -7.2727558e-01 -3.2648506e-02 3.4308385e-01 2.3694595e-01 3.9718888e+34 6.5455165e-01
3.2996700e-01 2.0000000e-01 -7.2711659e-01 -3.2632172e-02 3.4302652e-01 2.3685989e-01 3.9645156e+34 6.5455165e-01
3.2996700e-01 2.0666667e-01 -7.2695230e-01 -3.2615302e-02 3.4296727e-01 2.3677094e-01 3.9569013e+34 6.5455165e-01
3.2996700e-01 2.1333333e-01 -7.2678273e-01 -3.2597899e-02 3.4290610e-01 2.3667911e-01 3.9490467e+34 6.5455165e-01
3.2996700e-01 2.2000000e-01 -7.2660788e-01 -3.2579962e-02 3.4284302e-01 2.3658440e-01 3.9409528e+34 6.5455165e-01
3.2996700e-01 2.2666667e-01 -7.2642777e-01 -3.2561495e-02 3.4277801e-01 2.3648681e-01 3.9326203e+34 6.5455165e-01
3.2996700e-01 2.3333333e-01 -7.2624239e-01 -3.2542498e-02 3.4271110e-01 2.3638635e-01 3.9240502e+34 6.5455165e-01
