
-------------------------------------------------------------------------------
eosDaniela/eosSLy4,  MDIVxSDIV=151x301,  accuracy=1e-06
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi    r_plus     r_minus    exp_gamma_eq    exp_gamma_plus    exp_gamma_minus    conv_rad    conv_plus    conv_minus  chi    q    Mgeom    M2_geom   Jgeom   S3_geom    M2_asy    M2    S3_asy    S3    B0_geom    B0/M^2    M2^GH_geom   S3^GH_geom   M4_geom   M4_asy^GH_geom   B2/M^4   S5_geom  B2_asy/M^4   M4_asy_geom   S5_asy_geom  M4_geom_2points  M4_geom_3points  M4_geom_4points
-------------------------------------------------------------------------------
9.47690e+14 1.44321e+00 1.58803e+00 1.25687e+01 4.46667e-01 9.79249e-01 3.68720e-02 7.93277e-01 1.56082e+00 0.00000e+00 3.69871e+00 2.60399e-01 5.60027e-01 -2.29901e-02 4.59088e-01 1.02897e+01 8.68130e-01 9.79249e-01 9.79249e-01 4.64620e+00 0.00000e+00 1.40355e+01 9.89792e-01 1.00000e+00 9.94554e-01 1.22149e+00 1.00000e+00 1.15902e+00 3.80862e-01 -6.59515e-01 2.12925e+00 -6.36257e+00 1.72671e+00 -1.02562e+01 -8.57440e+01 -8.56905e+01 -4.14412e-01 -4.14099e-01 -1.06380e+00 -2.34643e-01 -6.56023e+00 -1.05447e+01 6.43619e+01 9.28440e+01 8.30907e-02 -8.54735e+03 7.25440e+05 9.08395e+01 -6.10506e+07 4.71651e+01 4.60728e+01 4.57492e+01 
---------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure   Omega
-------------------------------------------------------------------------------
3.2996700e-01 0.0000000e+00 -6.9408302e-01 -3.4067294e-02 3.2858589e-01 1.5477306e-01 4.9059340e+34 4.4666733e-01
3.2996700e-01 6.6666667e-03 -6.9408215e-01 -3.4067193e-02 3.2858544e-01 1.5477274e-01 4.9058881e+34 4.4666733e-01
3.2996700e-01 1.3333333e-02 -6.9407954e-01 -3.4066889e-02 3.2858450e-01 1.5477178e-01 4.9057505e+34 4.4666733e-01
3.2996700e-01 2.0000000e-02 -6.9407519e-01 -3.4066382e-02 3.2858291e-01 1.5477019e-01 4.9055212e+34 4.4666733e-01
3.2996700e-01 2.6666667e-02 -6.9406911e-01 -3.4065673e-02 3.2858068e-01 1.5476796e-01 4.9052003e+34 4.4666733e-01
3.2996700e-01 3.3333333e-02 -6.9406129e-01 -3.4064762e-02 3.2857782e-01 1.5476509e-01 4.9047877e+34 4.4666733e-01
3.2996700e-01 4.0000000e-02 -6.9405173e-01 -3.4063649e-02 3.2857433e-01 1.5476159e-01 4.9042834e+34 4.4666733e-01
3.2996700e-01 4.6666667e-02 -6.9404043e-01 -3.4062334e-02 3.2857020e-01 1.5475745e-01 4.9036876e+34 4.4666733e-01
3.2996700e-01 5.3333333e-02 -6.9402740e-01 -3.4060819e-02 3.2856544e-01 1.5475267e-01 4.9030002e+34 4.4666733e-01
3.2996700e-01 6.0000000e-02 -6.9401264e-01 -3.4059102e-02 3.2856004e-01 1.5474726e-01 4.9022213e+34 4.4666733e-01
3.2996700e-01 6.6666667e-02 -6.9399613e-01 -3.4057185e-02 3.2855402e-01 1.5474120e-01 4.9013510e+34 4.4666733e-01
3.2996700e-01 7.3333333e-02 -6.9397790e-01 -3.4055068e-02 3.2854737e-01 1.5473452e-01 4.9003893e+34 4.4666733e-01
