
-------------------------------------------------------------------------------
eosDaniela/eosSLy4,  MDIVxSDIV=151x301,  accuracy=1e-06
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi    r_plus     r_minus    exp_gamma_eq    exp_gamma_plus    exp_gamma_minus    conv_rad    conv_plus    conv_minus  chi    q    Mgeom    M2_geom   Jgeom   S3_geom    M2_asy    M2    S3_asy    S3    B0_geom    B0/M^2    M2^GH_geom   S3^GH_geom   M4_geom   M4_asy^GH_geom   B2/M^4   S5_geom  B2_asy/M^4   M4_asy_geom   S5_asy_geom  M4_geom_2points  M4_geom_3points  M4_geom_4points
-------------------------------------------------------------------------------
9.47690e+14 1.40920e+00 1.54996e+00 1.22709e+01 3.66551e-01 1.00058e+00 2.42199e-02 6.10597e-01 1.46397e+00 0.00000e+00 2.90004e+00 2.49394e-01 4.85732e-01 2.33392e-02 4.49795e-01 1.00585e+01 9.12080e-01 1.00058e+00 1.00058e+00 4.58340e+00 0.00000e+00 1.29928e+01 9.89628e-01 1.00000e+00 9.93811e-01 1.21996e+00 1.00000e+00 1.16764e+00 3.07475e-01 -4.54168e-01 2.07908e+00 -4.07911e+00 1.32908e+00 -5.19845e+00 -5.49703e+01 -5.49370e+01 -2.10048e-01 -2.09890e-01 -1.03799e+00 -2.40133e-01 -4.19734e+00 -5.33449e+00 3.61156e+01 6.09586e+01 5.91761e-02 -5.99452e+03 7.44087e+05 6.01745e+01 -2.95691e+07 2.05058e+01 1.95365e+01 1.92621e+01 
---------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure   Omega
3.2996700e-01 2.0000000e-01 -6.8355917e-01 -3.3958832e-02 3.2396673e-01 1.2477566e-01 5.0087255e+34 3.6655105e-01
3.2996700e-01 2.0666667e-01 -6.8352635e-01 -3.3955026e-02 3.2395483e-01 1.2476575e-01 5.0069598e+34 3.6655105e-01
3.2996700e-01 2.1333333e-01 -6.8349246e-01 -3.3951097e-02 3.2394254e-01 1.2475551e-01 5.0051367e+34 3.6655105e-01
3.2996700e-01 2.2000000e-01 -6.8345750e-01 -3.3947045e-02 3.2392986e-01 1.2474494e-01 5.0032562e+34 3.6655105e-01
3.2996700e-01 2.2666667e-01 -6.8342146e-01 -3.3942870e-02 3.2391677e-01 1.2473405e-01 5.0013182e+34 3.6655105e-01
3.2996700e-01 2.3333333e-01 -6.8338436e-01 -3.3938571e-02 3.2390329e-01 1.2472284e-01 4.9993229e+34 3.6655105e-01
3.2996700e-01 2.4000000e-01 -6.8334618e-01 -3.3934148e-02 3.2388941e-01 1.2471130e-01 4.9972701e+34 3.6655105e-01
3.2996700e-01 2.4666667e-01 -6.8330693e-01 -3.3929600e-02 3.2387513e-01 1.2469943e-01 4.9951600e+34 3.6655105e-01
3.2996700e-01 2.5333333e-01 -6.8326660e-01 -3.3924927e-02 3.2386045e-01 1.2468725e-01 4.9929925e+34 3.6655105e-01
3.2996700e-01 2.6000000e-01 -6.8322521e-01 -3.3920128e-02 3.2384536e-01 1.2467474e-01 4.9907676e+34 3.6655105e-01
3.2996700e-01 2.6666667e-01 -6.8318274e-01 -3.3915203e-02 3.2382987e-01 1.2466190e-01 4.9884853e+34 3.6655105e-01
3.2996700e-01 2.7333333e-01 -6.8313919e-01 -3.3910152e-02 3.2381398e-01 1.2464874e-01 4.9861457e+34 3.6655105e-01
3.2996700e-01 2.8000000e-01 -6.8309458e-01 -3.3904974e-02 3.2379769e-01 1.2463526e-01 4.9837488e+34 3.6655105e-01
3.2996700e-01 2.8666667e-01 -6.8304889e-01 -3.3899668e-02 3.2378099e-01 1.2462146e-01 4.9812947e+34 3.6655105e-01
3.2996700e-01 2.9333333e-01 -6.8300213e-01 -3.3894236e-02 3.2376389e-01 1.2460733e-01 4.9787832e+34 3.6655105e-01
3.2996700e-01 3.0000000e-01 -6.8295429e-01 -3.3888675e-02 3.2374639e-01 1.2459288e-01 4.9762146e+34 3.6655105e-01
3.2996700e-01 3.0666667e-01 -6.8290539e-01 -3.3882987e-02 3.2372849e-01 1.2457810e-01 4.9735888e+34 3.6655105e-01
