
-------------------------------------------------------------------------------
eosDaniela/eosSLy4,  MDIVxSDIV=151x301,  accuracy=1e-06
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi    r_plus     r_minus    exp_gamma_eq    exp_gamma_plus    exp_gamma_minus    conv_rad    conv_plus    conv_minus  chi    q    Mgeom    M2_geom   Jgeom   S3_geom    M2_asy    M2    S3_asy    S3    B0_geom    B0/M^2    M2^GH_geom   S3^GH_geom   M4_geom   M4_asy^GH_geom   B2/M^4   S5_geom  B2_asy/M^4   M4_asy_geom   S5_asy_geom  M4_geom_2points  M4_geom_3points  M4_geom_4points
-------------------------------------------------------------------------------
9.47690e+14 1.37794e+00 1.51498e+00 1.20012e+01 2.59978e-01 1.02141e+00 1.18972e-02 4.07482e-01 1.37748e+00 0.00000e+00 1.95702e+00 2.39144e-01 4.00401e-01 8.27572e-02 4.40903e-01 9.85081e+00 9.56040e-01 1.02141e+00 1.02141e+00 4.54927e+00 0.00000e+00 1.18291e+01 9.89496e-01 1.00000e+00 9.92728e-01 1.21830e+00 1.00000e+00 1.17999e+00 2.14609e-01 -2.34444e-01 2.03296e+00 -1.96866e+00 8.86961e-01 -1.71595e+00 -2.65292e+01 -2.65137e+01 -6.93346e-02 -6.92824e-02 -1.01354e+00 -2.45236e-01 -2.02203e+00 -1.75787e+00 1.99391e+01 4.21238e+01 3.15066e-02 -3.67285e+03 7.62295e+05 4.19510e+01 -9.36161e+06 5.66833e+00 4.79706e+00 4.55835e+00 
---------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure   Omega
3.2996700e-01 2.0000000e-01 -6.7405458e-01 -3.3875174e-02 3.1971970e-01 8.7067888e-02 5.1330589e+34 2.5997818e-01
3.2996700e-01 2.0666667e-01 -6.7403920e-01 -3.3873377e-02 3.1971413e-01 8.7064589e-02 5.1322154e+34 2.5997818e-01
3.2996700e-01 2.1333333e-01 -6.7402332e-01 -3.3871522e-02 3.1970837e-01 8.7061182e-02 5.1313443e+34 2.5997818e-01
3.2996700e-01 2.2000000e-01 -6.7400693e-01 -3.3869610e-02 3.1970242e-01 8.7057667e-02 5.1304457e+34 2.5997818e-01
3.2996700e-01 2.2666667e-01 -6.7399004e-01 -3.3867640e-02 3.1969629e-01 8.7054045e-02 5.1295196e+34 2.5997818e-01
3.2996700e-01 2.3333333e-01 -6.7397264e-01 -3.3865611e-02 3.1968995e-01 8.7050314e-02 5.1285659e+34 2.5997818e-01
3.2996700e-01 2.4000000e-01 -6.7395474e-01 -3.3863523e-02 3.1968343e-01 8.7046475e-02 5.1275845e+34 2.5997818e-01
3.2996700e-01 2.4666667e-01 -6.7393633e-01 -3.3861375e-02 3.1967671e-01 8.7042529e-02 5.1265755e+34 2.5997818e-01
3.2996700e-01 2.5333333e-01 -6.7391742e-01 -3.3859166e-02 3.1966980e-01 8.7038474e-02 5.1255389e+34 2.5997818e-01
3.2996700e-01 2.6000000e-01 -6.7389800e-01 -3.3856897e-02 3.1966269e-01 8.7034311e-02 5.1244745e+34 2.5997818e-01
3.2996700e-01 2.6666667e-01 -6.7387807e-01 -3.3854565e-02 3.1965538e-01 8.7030041e-02 5.1233825e+34 2.5997818e-01
3.2996700e-01 2.7333333e-01 -6.7385764e-01 -3.3852172e-02 3.1964788e-01 8.7025663e-02 5.1222626e+34 2.5997818e-01
3.2996700e-01 2.8000000e-01 -6.7383670e-01 -3.3849717e-02 3.1964018e-01 8.7021176e-02 5.1211151e+34 2.5997818e-01
3.2996700e-01 2.8666667e-01 -6.7381525e-01 -3.3847198e-02 3.1963228e-01 8.7016582e-02 5.1199397e+34 2.5997818e-01
3.2996700e-01 2.9333333e-01 -6.7379329e-01 -3.3844617e-02 3.1962419e-01 8.7011879e-02 5.1187366e+34 2.5997818e-01
3.2996700e-01 3.0000000e-01 -6.7377083e-01 -3.3841971e-02 3.1961590e-01 8.7007069e-02 5.1175056e+34 2.5997818e-01
3.2996700e-01 3.0666667e-01 -6.7374786e-01 -3.3839262e-02 3.1960742e-01 8.7002151e-02 5.1162469e+34 2.5997818e-01
3.2996700e-01 3.1333333e-01 -6.7372437e-01 -3.3836489e-02 3.1959874e-01 8.6997125e-02 5.1149604e+34 2.5997818e-01
3.2996700e-01 3.2000000e-01 -6.7370039e-01 -3.3833652e-02 3.1958988e-01 8.6991991e-02 5.1136461e+34 2.5997818e-01
3.2996700e-01 3.2666667e-01 -6.7367589e-01 -3.3830751e-02 3.1958082e-01 8.6986748e-02 5.1123040e+34 2.5997818e-01
3.2996700e-01 3.3333333e-01 -6.7365089e-01 -3.3827786e-02 3.1957158e-01 8.6981398e-02 5.1109343e+34 2.5997818e-01
3.2996700e-01 3.4000000e-01 -6.7362538e-01 -3.3824758e-02 3.1956216e-01 8.6975940e-02 5.1095368e+34 2.5997818e-01
3.2996700e-01 3.4666667e-01 -6.7359936e-01 -3.3821666e-02 3.1955255e-01 8.6970374e-02 5.1081117e+34 2.5997818e-01
