
-------------------------------------------------------------------------------
eosDaniela/eosSLy4,  MDIVxSDIV=151x301,  accuracy=1e-06
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi    r_plus     r_minus    exp_gamma_eq    exp_gamma_plus    exp_gamma_minus    conv_rad    conv_plus    conv_minus  chi    q    Mgeom    M2_geom   Jgeom   S3_geom    M2_asy    M2    S3_asy    S3    B0_geom    B0/M^2    M2^GH_geom   S3^GH_geom   M4_geom   M4_asy^GH_geom   B2/M^4   S5_geom  B2_asy/M^4   M4_asy_geom   S5_asy_geom  M4_geom_2points  M4_geom_3points  M4_geom_4points
-------------------------------------------------------------------------------
9.47690e+14 1.56138e+00 1.72049e+00 1.36979e+01 6.15062e-01 9.02166e-01 7.57878e-02 1.34446e+00 1.92107e+00 0.00000e+00 5.65289e+00 2.97628e-01 7.67285e-01 -1.35157e-01 4.88710e-01 1.11944e+01 7.36260e-01 9.02166e-01 9.02166e-01 4.92129e+00 0.00000e+00 1.69316e+01 9.90589e-01 1.00000e+00 9.95952e-01 1.22364e+00 1.00000e+00 1.14288e+00 5.51482e-01 -1.17672e+00 2.30360e+00 -1.43746e+01 2.92647e+00 -3.59462e+01 -1.93729e+02 -1.93596e+02 -1.45244e+00 -1.45134e+00 -1.14710e+00 -2.16167e-01 -1.49261e+01 -3.72072e+01 2.42459e+02 2.91385e+02 1.31486e-01 -2.03400e+04 6.75792e+05 2.79650e+02 -2.53253e+08 2.18202e+02 2.16515e+02 2.15926e+02 
---------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure   Omega
-------------------------------------------------------------------------------
3.2996700e-01 0.0000000e+00 -7.2287250e-01 -3.3512218e-02 3.4112573e-01 2.2224978e-01 4.3514153e+34 6.1506178e-01
3.2996700e-01 6.6666667e-03 -7.2287033e-01 -3.3511985e-02 3.4112461e-01 2.2224868e-01 4.3513102e+34 6.1506178e-01
3.2996700e-01 1.3333333e-02 -7.2286383e-01 -3.3511285e-02 3.4112229e-01 2.2224540e-01 4.3509949e+34 6.1506178e-01
3.2996700e-01 2.0000000e-02 -7.2285299e-01 -3.3510119e-02 3.4111836e-01 2.2223993e-01 4.3504693e+34 6.1506178e-01
3.2996700e-01 2.6666667e-02 -7.2283783e-01 -3.3508488e-02 3.4111287e-01 2.2223228e-01 4.3497337e+34 6.1506178e-01
3.2996700e-01 3.3333333e-02 -7.2281833e-01 -3.3506390e-02 3.4110580e-01 2.2222243e-01 4.3487880e+34 6.1506178e-01
3.2996700e-01 4.0000000e-02 -7.2279450e-01 -3.3503827e-02 3.4109717e-01 2.2221040e-01 4.3476323e+34 6.1506178e-01
3.2996700e-01 4.6666667e-02 -7.2276634e-01 -3.3500799e-02 3.4108698e-01 2.2219618e-01 4.3462668e+34 6.1506178e-01
3.2996700e-01 5.3333333e-02 -7.2273386e-01 -3.3497306e-02 3.4107522e-01 2.2217978e-01 4.3446915e+34 6.1506178e-01
3.2996700e-01 6.0000000e-02 -7.2269705e-01 -3.3493349e-02 3.4106189e-01 2.2216119e-01 4.3429068e+34 6.1506178e-01
3.2996700e-01 6.6666667e-02 -7.2265591e-01 -3.3488929e-02 3.4104701e-01 2.2214042e-01 4.3409127e+34 6.1506178e-01
3.2996700e-01 7.3333333e-02 -7.2261045e-01 -3.3484046e-02 3.4103056e-01 2.2211746e-01 4.3387094e+34 6.1506178e-01
